time,text,event
Mon Oct 31 21:58:59 +0000 2011,#Últimahora:Fuerte balacera entre Sedena y civiles armados en #Reynosa http://t.co/XR0lpso6 #verfollow #mtyfollow #reynosafollow #Tamaulipas,
Sat Mar 03 00:28:05 +0000 2012,y la balacera empezo a las 6 d la mañana.. q webos.. y hubo 6 detenidos en total http://t.co/pvDah36w #mtyfollow #mty #nl #nuevoleon,
Wed Aug 01 14:09:06 +0000 2012,http://t.co/TQd0XVe1 Otra balacera se registro en la mañana ahora entre sicarios en #jalisco #Gdl #mty #nl #slp,
Tue Jun 19 13:59:11 +0000 2012,si que estuvo gacha esta balacera. a plena luz del dia ya ni joden http://t.co/ewNcobLm #gdl #jalisco #mty #NL #tamaulipas #veracruz,
Sun Jan 29 18:13:52 +0000 2012,RT @notinfomex: #Últimahora:Fuerte balacera entre Sedena y civiles armados en #Reynosa http://t.co/XR0lpso6 #verfollow #mtyfollow #reyno ...,
Wed Mar 02 19:20:37 +0000 2011,RT @notinfomex: #Últimahora:Fuerte balacera entre Sedena y civiles armados en #Reynosa http://t.co/XR0lpso6 #verfollow #mtyfollow #reyno ...,
Wed Sep 21 14:44:09 +0000 2011,RT @notinfomex: #Últimahora:Fuerte balacera entre Sedena y civiles armados en #Reynosa http://t.co/XR0lpso6 #verfollow #mtyfollow #reyno ...,
Wed Aug 01 14:09:06 +0000 2012,http://t.co/TQd0XVe1 por la mañana se registro nuevamente una balacera en #jalisco #nogales #laredo #monclova #mty,
Sat Oct 31 15:17:40 +0000 2009,Caen cuatro delincuentes del CDG con arsenal en una casa en Escobedo...http://t.co/9nWi9tjW #mtyfollow #balacera #NL #Monterrey #alertamty,
Sat Mar 03 00:07:30 +0000 2012,todo parece indicar q ya paso la balacera.. http://t.co/rXN9IKsq #mtyfollow #mty #nl #nuevoleon #monterrey #mexico,
Sun Mar 11 22:13:04 +0000 2012,balacera a las 6? q no duermen o qqq http://t.co/7x6d6Wf5 #mtyfollow #mty #nl #nuevoleon,
Wed Dec 07 15:25:07 +0000 2011,"alerta roja, se sucita, tremenda balacera en las calles, cuidado http://t.co/cqY5QMds  #mtyfollow #mty #nuevoleon #cadereyta",
Sat Mar 03 00:14:59 +0000 2012,con todoo la balacera d hace rato.. se ve q si duro un buen rato http://t.co/IEjnUlXu #mtyfollow #mty #nl #nuevoleon #monterrey #mexico #df,
Wed Feb 01 00:45:52 +0000 2012,asi queda una calle despues de una buena balacera.. :S fotos.. http://t.co/hrTmqQof #mtyfollow,
Wed Feb 01 00:49:06 +0000 2012,asi queda una calle despues de una buena balacera.. :S fotos.. http://t.co/SC2JQL4Z #mty #nl #nuevoleon #monterrey #mexico #df,
Tue Aug 24 17:05:00 +0000 2010,"Se escucha fuerte balacera área Obispado o chepevera
@cicmty @AnaRent 
#MtyFollow",
Tue Aug 24 17:05:00 +0000 2010,"Podrían Confirmar si hay alguna balacera área Obispado ?
@cicmty @AnaRent #mtyfollow",
Sat Apr 24 01:29:20 +0000 2010,"RT @Israeltfuentes: Se escucha fuerte balacera área Obispado o chepevera
@cicmty @AnaRent 
#MtyFollow",
Tue Aug 24 17:05:00 +0000 2010,"@ELNORTESEG 
Saben si hay alguna balacera área Obispado o chepevera Mty?
#mtyfollow",
Tue Mar 06 00:14:21 +0000 2012,en fotos el desmadre q quedo de una balacera! :O http://t.co/0iJf8vau #mtyfollow #mty #nl #nuevoleon #monterrey #mexico #df,
Tue Jun 19 19:10:30 +0000 2012,bueno y que tan fuerte estuvo la balacera? vean como estaban todso en pánico por las balas http://t.co/zMEject6 #reynosafollow #reynosa #mty,
Tue Apr 12 00:24:12 +0000 2011,RT @zapatamty: Balacera Zona Independencia - Tec Monterrey 22:26 #MtyFollow,
Sat Feb 19 05:52:36 +0000 2011,@cicmty balacera muy fuerte se escucha Col Roma!! Precaucion! @ciudadanamtysur,
Tue Apr 12 00:24:12 +0000 2011,RT @zapatamty: Balacera Zona Independencia - Tec Monterrey 22:26 #MtyFollow http://t.co/vNxUpzcO,
Tue Apr 06 18:06:53 +0000 2010,RT @mimy_sam: balacera muy fuerte se escucha Col Roma!! Precaucion! #mtyfollow,
Mon May 24 09:42:01 +0000 2010,@Cicmty desde aqui en el centro de MTY Juarez y Ocampo se escuchan las rafagas de lo que parece ser una balacera en la indepe #mtyfollow,
Mon Dec 05 04:46:53 +0000 2011,@info7mty @debora_INFO7 @hugochavezm balacera en el cerro la campana,
Sun Jun 07 02:18:22 +0000 2009,RT @T_Killr: @Cicmty desde aqui en el centro de MTY Juarez y Ocampo se escuchan las rafagas de lo que parece ser una balacera en la inde ...,
Thu Sep 08 23:10:59 +0000 2011,#mtysur balacera por Panuco y Rio Nazas con cuidado gente!!!! @BalaceraMTY,
Sat Feb 19 05:52:36 +0000 2011,@alertamty_com balacera muy fuerte escuchada #zonasur Col Roma! Cuidado!,
Sat Jan 09 00:54:34 +0000 2010,"balacera río pánuco mty, tranqui",
Mon Jan 21 09:18:02 +0000 2008,balacera ubico hacia la indepe #mtyfollow posible 2 granadazos,
Tue Aug 04 02:27:39 +0000 2009,RT @mariequirozl: #mtysur balacera por Panuco y Rio Nazas con cuidado gente!!!! @BalaceraMTY,
