time,text,event
Wed Nov 02 02:48:27 +0000 2011,"RT @JenniiGs98: -Hubo una balacera
-¿Cuál es el saldo de los muertos?
-No sé, no revisamos sus Celulares..!
Jajajajajajajaja okno... est ...",
Mon Jun 07 21:57:45 +0000 2010,RT @ChicoNutella: Ya se extrañaba en Tabasco ese dulce olor a balacera cada 2 días.,
Sat Apr 24 02:28:43 +0000 2010,"RT @Araanzaa_Ricoo: —Hola, ¿Qué haces? —Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome —¡NO MAMES, TEN CUIDAD ...",
Thu Jul 19 00:19:03 +0000 2012,Abaten a tres personas en Nuevo León: Las autoridades precisaron que en la balacera registrada entre General Ter... http://t.co/37aBN6WL Via,
Fri Jan 14 05:57:20 +0000 2011,"Al final , lo que queda  es abrazarse, confiar en el otro,  amar y dejarse amar en medio de la balacera que es la vida .",
Sat Aug 29 06:04:10 +0000 2009,Ay lo tipos que quieren rentar la casa se ven bien narcos :(. que miedo. va a llegar la balacera.,
Fri Dec 02 05:31:30 +0000 2011,RT @Ashamenn: —Hola ¿Que haces?— Aquí en una balacera entre los Narcos y los Federales y tu?— Enamorándome— ¡NO MAMES! ten cuidado puede ...,
Wed Jul 04 01:54:25 +0000 2012,RT @KhalidaAmira1 Abaten a tres personas en Nuevo León: Las autoridades precisaron que en la balacera registrada ent... http://t.co/FB7rhUD3,
Mon Mar 26 09:00:27 +0000 2012,RT @shebelut: En una emisora. El Dj le pide a los oyentes que música quieren escuchar: y llama uno disque; Balacera. Por eso andamos com ...,
Tue Oct 04 19:26:08 +0000 2011,"Autoridades confirman balacera en el interior del Cereso 2 d Gómez Palacio, Dgo @Vargasquinones",
Sun Aug 26 23:58:13 +0000 2012,"Se goterea hasta una balacera, Pobre muchacho.",
Wed Dec 15 21:47:48 +0000 2010,RT @shebelut: En una emisora. El Dj le pide a los oyentes que música quieren escuchar: y llama uno disque; Balacera. Por eso andamos com ...,
Fri Oct 14 22:27:03 +0000 2011,"RT @pilaraguilarm: Autoridades confirman balacera en el interior del Cereso 2 d Gómez Palacio, Dgo @Vargasquinones",
Tue Sep 18 15:44:59 +0000 2012,"RT @pilaraguilarm: Autoridades confirman balacera en el interior del Cereso 2 d Gómez Palacio, Dgo @Vargasquinones",
Sun Sep 23 11:52:51 +0000 2012,Hoy hubo balacera en Tepito y estuve a punto de ir.,
Mon Sep 24 04:05:02 +0000 2012,RT @KhalidaAmira1 Abaten a tres personas en Nuevo León: Las autoridades precisaron que en la balacera registrada ent... http://t.co/r7lMoKiu,
Thu Sep 27 18:09:31 +0000 2012,RT @KhalidaAmira1 Abaten a tres personas en Nuevo León: Las autoridades precisaron que en la balacera registrada ent... http://t.co/vnTAC10s,
Sun Jul 24 01:18:42 +0000 2011,"—Hola, ¿Qué haces? —Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome —¡NO MAMES, TEN... http://t.co/5HBGMeO0",
Sun Jun 13 21:52:39 +0000 2010,"RT @pilaraguilarm: Autoridades confirman balacera en el interior del Cereso 2 d Gómez Palacio, Dgo @Vargasquinones",
Thu Aug 09 23:34:36 +0000 2012,RT @KhalidaAmira1: Abaten a tres personas en Nuevo León: Las autoridades precisaron que en la balacera registrada ent... http://t.co/DGT ...,
Mon Jan 24 19:28:00 +0000 2011,"“@pilaraguilarm: Autoridades confirman balacera en el interior del Cereso 2 d Gómez Palacio, Dgo",
Wed May 04 06:44:23 +0000 2011,RT @IselaEd2012RT @ChicoNutella: Ya se extrañaba en Tabasco ese dulce olor a balacera cada 2 días.: RT @ChicoNut... http://t.co/GI7AqtBj,
Wed Aug 18 18:28:09 +0000 2010,@EdNegrett Ojo queda en medio de una balacera.,
Sat Aug 11 06:07:37 +0000 2012,"—Hola, ¿Qué haces? —Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome —¡NO MAMES, TEN CUIDADO, TE VAN A LASTIMAR!",
Wed Mar 31 20:27:47 +0000 2010,"RT @Ave_Tuitera: —Hola, ¿Qué haces? —Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome —¡NO MAMES, TEN CUIDADO,  ...",
Wed Apr 01 22:52:51 +0000 2009,"RT @Ave_Tuitera: —Hola, ¿Qué haces? —Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome —¡NO MAMES, TEN CUIDADO,  ...",
Mon Jun 28 19:38:56 +0000 2010,"—Hola, ¿Qué haces? —Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome —¡NO MAMES, TEN CUIDADO, TE VAN A LASTIMAR!.",
Tue Jul 12 22:22:42 +0000 2011,"RT @Ave_Tuitera: —Hola, ¿Qué haces? —Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome —¡NO MAMES, TEN CUIDADO,  ...",
Mon Aug 08 02:39:51 +0000 2011,"RT @Ave_Tuitera: —Hola, ¿Qué haces? —Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome —¡NO MAMES, TEN CUIDADO,  ...",
Thu Apr 08 01:44:25 +0000 2010,"RT @Ave_Tuitera: —Hola, ¿Qué haces? —Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome —¡NO MAMES, TEN CUIDADO,  ...",
Fri Feb 15 15:31:20 +0000 2008,"RT @Ave_Tuitera: —Hola, ¿Qué haces? —Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome —¡NO MAMES, TEN CUIDADO,  ...",
